,ONE,Category,City,Country,Customer Name,Discount,Number of Records,Order Date,Order ID,Postal Code,Manufacturer,Product Name,Profit,Profit Ratio,Quantity,Region,Sales,Segment,Ship Date,Ship Mode,State,Sub-Category
16%,1,Furniture,Henderson,United States,Claire Gute,0%,1,11/8/2017,CA-2017-152156,42420,Bush,Bush Somerset Collection Bookcase,42,0.1603053435,2,South,262,Consumer,11/11/2017,Second Class,Kentucky,Bookcases
30%,1,Furniture,Henderson,United States,Claire Gute,0%,1,11/8/2017,CA-2017-152156,42420,Hon,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",220,0.3005464481,3,South,732,Consumer,11/11/2017,Second Class,Kentucky,Chairs
47%,1,Office Supplies,Los Angeles,United States,Darrin Van Huff,0%,1,6/12/2017,CA-2017-138688,90036,Universal,Self-Adhesive Address Labels for Typewriters by Universal,7,0.4666666667,2,West,15,Corporate,6/16/2017,Second Class,California,Labels
-40%,1,Furniture,Fort Lauderdale,United States,Sean O'Donnell,45%,1,10/11/2016,US-2016-108966,33311,Bretford,Bretford CR4500 Series Slim Rectangular Table,-383,-0.3997912317,5,South,958,Consumer,10/18/2016,Standard Class,Florida,Tables
11%,1,Office Supplies,Fort Lauderdale,United States,Sean O'Donnell,20%,1,10/11/2016,US-2016-108966,33311,Eldon,Eldon Fold 'N Roll Cart System,3,0.1363636364,2,South,22,Consumer,10/18/2016,Standard Class,Florida,Storage
29%,1,Furniture,Los Angeles,United States,Brosina Hoffman,0%,1,6/9/2015,CA-2015-115812,90032,Eldon,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",14,0.2857142857,7,West,49,Consumer,6/14/2015,Standard Class,California,Furnishings
27%,1,Office Supplies,Los Angeles,United States,Brosina Hoffman,0%,1,6/9/2015,CA-2015-115812,90032,Newell,Newell 322,2,0.2857142857,4,West,7,Consumer,6/14/2015,Standard Class,California,Art
10%,1,Technology,Los Angeles,United States,Brosina Hoffman,20%,1,6/9/2015,CA-2015-115812,90032,Mitel,Mitel 5320 IP Phone VoIP phone,91,0.1003307607,6,West,907,Consumer,6/14/2015,Standard Class,California,Phones
31%,1,Office Supplies,Los Angeles,United States,Brosina Hoffman,20%,1,6/9/2015,CA-2015-115812,90032,DXL,DXL Angle-View Binders with Locking Rings by Samsill,6,0.3157894737,3,West,19,Consumer,6/14/2015,Standard Class,California,Binders
30%,1,Office Supplies,Los Angeles,United States,Brosina Hoffman,0%,1,6/9/2015,CA-2015-115812,90032,Belkin,Belkin F5C206VTEL 6 Outlet Surge,34,0.2956521739,5,West,115,Consumer,6/14/2015,Standard Class,California,Appliances
5%,1,Furniture,Los Angeles,United States,Brosina Hoffman,20%,1,6/9/2015,CA-2015-115812,90032,Chromcraft,Chromcraft Rectangular Conference Tables,85,0.04982415006,9,West,"1,706",Consumer,6/14/2015,Standard Class,California,Tables
8%,1,Technology,Los Angeles,United States,Brosina Hoffman,20%,1,6/9/2015,CA-2015-115812,90032,Other,Konftel 250 Conference phone - Charcoal black,68,0.07464324918,4,West,911,Consumer,6/14/2015,Standard Class,California,Phones
35%,1,Office Supplies,Concord,United States,Andrew Allen,20%,1,4/15/2018,CA-2018-114412,28027,Xerox,Xerox 1967,5,0.3125,3,South,16,Consumer,4/20/2018,Standard Class,North Carolina,Paper
33%,1,Office Supplies,Seattle,United States,Irene Maddox,20%,1,12/5/2017,CA-2017-161389,98103,Fellowes,Fellowes PB200 Plastic Comb Binding Machine,133,0.3259803922,3,West,408,Consumer,12/10/2017,Standard Class,Washington,Binders
-180%,1,Office Supplies,Fort Worth,United States,Harold Pawlan,80%,1,11/22/2016,US-2016-118983,76106,Holmes,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",-124,-1.797101449,5,Central,69,Home Office,11/26/2016,Standard Class,Texas,Appliances
-150%,1,Office Supplies,Fort Worth,United States,Harold Pawlan,80%,1,11/22/2016,US-2016-118983,76106,Storex,Storex DuraTech Recycled Plastic Frosted Binders,-4,-1.333333333,3,Central,3,Home Office,11/26/2016,Standard Class,Texas,Binders
2%,1,Office Supplies,Madison,United States,Pete Kriz,0%,1,11/11/2015,CA-2015-105893,53711,Other,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",13,0.01951951952,6,Central,666,Consumer,11/18/2015,Standard Class,Wisconsin,Storage
18%,1,Office Supplies,West Jordan,United States,Alejandro Grove,0%,1,5/13/2015,CA-2015-167164,84084,Fellowes,Fellowes Super Stor/Drawer,10,0.1785714286,2,West,56,Consumer,5/15/2015,Second Class,Utah,Storage
29%,1,Office Supplies,San Francisco,United States,Zuschuss Donatelli,0%,1,8/27/2015,CA-2015-143336,94109,Newell,Newell 341,2,0.2222222222,2,West,9,Consumer,9/1/2015,Second Class,California,Art
7%,1,Technology,San Francisco,United States,Zuschuss Donatelli,20%,1,8/27/2015,CA-2015-143336,94109,Cisco,Cisco SPA 501G IP Phone,16,0.07511737089,3,West,213,Consumer,9/1/2015,Second Class,California,Phones
33%,1,Office Supplies,San Francisco,United States,Zuschuss Donatelli,20%,1,8/27/2015,CA-2015-143336,94109,Wilson Jones,"Wilson Jones Hanging View Binder, White, 1""",7,0.3043478261,4,West,23,Consumer,9/1/2015,Second Class,California,Binders
26%,1,Office Supplies,Fremont,United States,Ken Black,0%,1,12/9/2017,CA-2017-137330,68025,Newell,Newell 318,5,0.2631578947,7,Central,19,Corporate,12/13/2017,Standard Class,Nebraska,Art
26%,1,Office Supplies,Fremont,United States,Ken Black,0%,1,12/9/2017,CA-2017-137330,68025,Acco,"Acco Six-Outlet Power Strip, 4' Cord Length",16,0.2666666667,7,Central,60,Corporate,12/13/2017,Standard Class,Nebraska,Appliances
-1%,1,Furniture,Philadelphia,United States,Sandra Flanagan,30%,1,7/16/2018,US-2018-156909,19140,Global,"Global Deluxe Stacking Chair, Gray",-1,-0.01408450704,2,East,71,Consumer,7/18/2018,Second Class,Pennsylvania,Chairs
23%,1,Furniture,Orem,United States,Emily Burns,0%,1,9/25/2016,CA-2016-106320,84057,Bretford,Bretford CR4500 Series Slim Rectangular Table,240,0.2296650718,3,West,"1,045",Consumer,9/30/2016,Standard Class,Utah,Tables
36%,1,Office Supplies,Los Angeles,United States,Eric Hoffmann,20%,1,1/16/2017,CA-2017-121755,90049,Wilson Jones,Wilson Jones Active Use Binders,4,0.3333333333,2,West,12,Consumer,1/20/2017,Second Class,California,Binders
13%,1,Technology,Los Angeles,United States,Eric Hoffmann,0%,1,1/16/2017,CA-2017-121755,90049,Other,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,12,0.1318681319,3,West,91,Consumer,1/20/2017,Second Class,California,Accessories
-54%,1,Furniture,Philadelphia,United States,Tracy Blumstein,50%,1,9/17/2016,US-2016-150630,19140,Riverside,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","-1,665",-0.5400583847,7,East,"3,083",Consumer,9/21/2016,Standard Class,Pennsylvania,Bookcases
-73%,1,Office Supplies,Philadelphia,United States,Tracy Blumstein,70%,1,9/17/2016,US-2016-150630,19140,Avery,Avery Recycled Flexi-View Covers for Binding Systems,-7,-0.7,2,East,10,Consumer,9/21/2016,Standard Class,Pennsylvania,Binders
13%,1,Furniture,Philadelphia,United States,Tracy Blumstein,20%,1,9/17/2016,US-2016-150630,19140,Howard Miller,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",16,0.1290322581,3,East,124,Consumer,9/21/2016,Standard Class,Pennsylvania,Furnishings
34%,1,Office Supplies,Philadelphia,United States,Tracy Blumstein,20%,1,9/17/2016,US-2016-150630,19140,Poly,Poly String Tie Envelopes,1,0.3333333333,2,East,3,Consumer,9/21/2016,Standard Class,Pennsylvania,Envelopes
11%,1,Office Supplies,Philadelphia,United States,Tracy Blumstein,20%,1,9/17/2016,US-2016-150630,19140,Boston,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",10,0.1162790698,6,East,86,Consumer,9/21/2016,Standard Class,Pennsylvania,Art
-83%,1,Office Supplies,Philadelphia,United States,Tracy Blumstein,70%,1,9/17/2016,US-2016-150630,19140,Acco,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",-6,-0.8571428571,6,East,7,Consumer,9/21/2016,Standard Class,Pennsylvania,Binders
23%,1,Office Supplies,Philadelphia,United States,Tracy Blumstein,20%,1,9/17/2016,US-2016-150630,19140,Other,Lumber Crayons,4,0.25,2,East,16,Consumer,9/21/2016,Standard Class,Pennsylvania,Art
34%,1,Office Supplies,Houston,United States,Matt Abelman,20%,1,10/19/2018,CA-2018-107727,77095,Easy-staple paper,Easy-staple paper,10,0.3448275862,3,Central,29,Home Office,10/23/2018,Second Class,Texas,Paper
11%,1,Technology,Richardson,United States,Gene Hale,20%,1,12/8/2017,CA-2017-117590,75080,GE,GE 30524EE4,123,0.1120218579,7,Central,"1,098",Corporate,12/10/2017,First Class,Texas,Phones
-78%,1,Furniture,Richardson,United States,Gene Hale,60%,1,12/8/2017,CA-2017-117590,75080,Electrix,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",-148,-0.7748691099,5,Central,191,Corporate,12/10/2017,First Class,Texas,Furnishings
31%,1,Office Supplies,Houston,United States,Steve Nguyen,20%,1,12/27/2016,CA-2016-117415,77041,Other,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",35,0.3097345133,9,Central,113,Home Office,12/31/2016,Standard Class,Texas,Envelopes
-9%,1,Furniture,Houston,United States,Steve Nguyen,32%,1,12/27/2016,CA-2016-117415,77041,Atlantic,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",-47,-0.08834586466,3,Central,532,Home Office,12/31/2016,Standard Class,Texas,Bookcases
-7%,1,Furniture,Houston,United States,Steve Nguyen,30%,1,12/27/2016,CA-2016-117415,77041,Global,"Global Fabric Manager's Chair, Dark Gray",-15,-0.07075471698,3,Central,212,Home Office,12/31/2016,Standard Class,Texas,Chairs
11%,1,Technology,Houston,United States,Steve Nguyen,20%,1,12/27/2016,CA-2016-117415,77041,Plantronics,Plantronics HL10 Handset Lifter,42,0.1132075472,4,Central,371,Home Office,12/31/2016,Standard Class,Texas,Phones
11%,1,Technology,Naperville,United States,Linda Cazamias,20%,1,9/10/2018,CA-2018-120999,60540,Panasonic,Panasonic Kx-TS550,17,0.1156462585,4,Central,147,Corporate,9/15/2018,Standard Class,Illinois,Phones
5%,1,Office Supplies,Los Angeles,United States,Ruben Ausman,0%,1,7/17/2017,CA-2017-101343,90049,Eldon,"Eldon Base for stackable storage shelf, platinum",4,0.05128205128,2,West,78,Corporate,7/22/2017,Standard Class,California,Storage
10%,1,Office Supplies,Melbourne,United States,Erin Smith,20%,1,9/19/2018,CA-2018-139619,32935,Advantus,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",10,0.1041666667,2,South,96,Corporate,9/23/2018,Standard Class,Florida,Storage
43%,1,Technology,Eagan,United States,Odella Nelson,0%,1,3/11/2017,CA-2017-118255,55122,Verbatim,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",20,0.4347826087,2,Central,46,Corporate,3/13/2017,First Class,Minnesota,Accessories
47%,1,Office Supplies,Eagan,United States,Odella Nelson,0%,1,3/11/2017,CA-2017-118255,55122,Wilson Jones,Wilson Jones Leather-Like Binders with DublLock Round Rings,8,0.4705882353,2,Central,17,Corporate,3/13/2017,First Class,Minnesota,Binders
4%,1,Office Supplies,Westland,United States,Patrick O'Donnell,0%,1,10/20/2015,CA-2015-146703,48185,Gould Plastics,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",8,0.03773584906,4,Central,212,Consumer,10/25/2015,Second Class,Michigan,Storage
11%,1,Technology,Dover,United States,Lena Hernandez,0%,1,6/20/2017,CA-2017-169194,19901,Imation,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,5,0.1111111111,3,East,45,Consumer,6/25/2017,Standard Class,Delaware,Accessories
28%,1,Technology,Dover,United States,Lena Hernandez,0%,1,6/20/2017,CA-2017-169194,19901,Other,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",6,0.2727272727,2,East,22,Consumer,6/25/2017,Standard Class,Delaware,Phones
47%,1,Office Supplies,New Albany,United States,Darren Powers,0%,1,4/18/2016,CA-2016-115742,47150,C-Line,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",18,0.4736842105,6,Central,38,Consumer,4/22/2016,Standard Class,Indiana,Binders
47%,1,Office Supplies,New Albany,United States,Darren Powers,0%,1,4/18/2016,CA-2016-115742,47150,Avery,Avery 485,35,0.4666666667,6,Central,75,Consumer,4/22/2016,Standard Class,Indiana,Labels
48%,1,Furniture,New Albany,United States,Darren Powers,0%,1,4/18/2016,CA-2016-115742,47150,Other,Longer-Life Soft White Bulbs,3,0.5,2,Central,6,Consumer,4/22/2016,Standard Class,Indiana,Furnishings
19%,1,Furniture,New Albany,United States,Darren Powers,0%,1,4/18/2016,CA-2016-115742,47150,Global,"Global Leather Task Chair, Black",17,0.1888888889,1,Central,90,Consumer,4/22/2016,Standard Class,Indiana,Chairs
41%,1,Office Supplies,New York City,United States,Janet Molinari,0%,1,12/11/2017,CA-2017-105816,10024,Advantus,Advantus Push Pins,6,0.4,7,East,15,Corporate,12/17/2017,Standard Class,New York,Fasteners
29%,1,Technology,New York City,United States,Janet Molinari,0%,1,12/11/2017,CA-2017-105816,10024,AT&T,AT&T CL83451 4-Handset Telephone,299,0.2902912621,5,East,"1,030",Corporate,12/17/2017,Standard Class,New York,Phones
25%,1,Office Supplies,Troy,United States,Ted Butterfield,0%,1,6/17/2017,CA-2017-111682,12180,Other,Home/Office Personal File Carts,52,0.2488038278,6,East,209,Consumer,6/18/2017,First Class,New York,Storage
48%,1,Office Supplies,Troy,United States,Ted Butterfield,0%,1,6/17/2017,CA-2017-111682,12180,Xerox,Xerox 232,16,0.5,5,East,32,Consumer,6/18/2017,First Class,New York,Paper
2%,1,Furniture,Troy,United States,Ted Butterfield,10%,1,6/17/2017,CA-2017-111682,12180,Novimex,Novimex Turbo Task Chair,7,0.02194357367,5,East,319,Consumer,6/18/2017,First Class,New York,Chairs
48%,1,Office Supplies,Troy,United States,Ted Butterfield,0%,1,6/17/2017,CA-2017-111682,12180,Array,"Array Parchment Paper, Assorted Colors",7,0.4666666667,2,East,15,Consumer,6/18/2017,First Class,New York,Paper
11%,1,Technology,Troy,United States,Ted Butterfield,0%,1,6/17/2017,CA-2017-111682,12180,Imation,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,3,0.1,2,East,30,Consumer,6/18/2017,First Class,New York,Accessories
